school_id,school,state,students,municipality_type,municipality_size
0,HICKSVILLE HIGH SCHOOL,NY,1754,Suburb,Large
1,RUSK H S,TX,597,Rural,Fringe
2,MAY-PORT CG HIGH SCHOOL,ND,142,Rural,Remote
3,EAST HIGH,UT,1923,City,Mid-size
4,NORTH FORT MYERS HIGH SCHOOL,FL,1673,Suburb,Large
5,TOMAHAWK HIGH,WI,418,Town,Distant
6,PRIOR LAKE HIGH SCHOOL,MN,2562,Suburb,Large
7,OOLOGAH-TALALA HS,OK,563,Rural,Distant
8,JUDITH GAP HIGH SCHOOL,MT,6,Rural,Remote
9,LA FERIA H S,TX,953,Suburb,Mid-size
10,GLASGOW HIGH SCHOOL,MT,246,Rural,Fringe
11,OAKDALE HIGH,MD,1229,Suburb,Mid-size
12,BARNES COUNTY NORTH HIGH SCHOOL,ND,85,Rural,Remote
13,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,404,Rural,Fringe
14,MOHONASEN SENIOR HIGH SCHOOL,NY,946,Suburb,Large
15,DODGEVILLE HIGH,WI,412,Town,Distant
16,TEAGUE H S,TX,415,Town,Remote
17,ARCADIA HIGH SCHOOL,NY,1144,Suburb,Large
18,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,NY,582,Town,Fringe
19,NORTHGLENN HIGH SCHOOL,CO,1923,Suburb,Large
20,PARK VISTA COMMUNITY HIGH SCHOOL,FL,3035,Suburb,Large
21,LATHROP HIGH,CA,1261,Rural,Fringe
22,DEL MAR HIGH,CA,1167,City,Large
23,ANAMOSA HIGH SCHOOL,IA,384,Town,Distant
24,RIO RANCHO HIGH,NM,2387,Suburb,Large
25,TACONIC HIGH,MA,731,City,Small
26,LATTA HS,OK,213,Rural,Fringe
27,BROOKFIELD HIGH,MO,298,Rural,Fringe
28,CARMEL HIGH SCHOOL,NY,1434,Suburb,Large
29,BREMOND H S,TX,151,Rural,Remote
30,JULIAN HIGH,CA,157,Rural,Distant
31,RED RIVER HIGH SCHOOL,ND,1141,City,Small
32,ROBERTSDALE HIGH SCH,AL,1369,Town,Fringe
33,LATHROP HIGH SCHOOL,AK,1040,City,Small
34,ATHOL HIGH,MA,358,Town,Fringe
35,SAVAGE HIGH SCHOOL,MT,36,Rural,Remote
36,BEGGS HS,OK,351,Rural,Distant
37,BELTON H S,TX,2711,Suburb,Small
38,MILTON HIGH,WI,1075,Suburb,Small
39,SOUTHERN COLUMBIA HS,PA,409,Rural,Fringe
40,COMO PARK SENIOR HIGH,MN,1307,City,Large
41,ELSBERRY HIGH,MO,232,Rural,Distant
42,PORT JERVIS SENIOR HIGH SCHOOL,NY,827,Rural,Fringe
43,LONGMONT HIGH SCHOOL,CO,1188,Suburb,Small
44,ELKO HIGH SCHOOL,NV,1295,Town,Remote
45,IRONTON HIGH SCHOOL,OH,396,Suburb,Mid-size
46,SOUTH JEFFERSON HIGH SCHOOL,NY,611,Rural,Fringe
47,SIMSBURY HIGH SCHOOL,CT,1423,Suburb,Large
48,WINDTHORST H S,TX,168,Rural,Distant
49,NORTHBRIDGE HIGH,MA,605,Suburb,Large
50,DEPEW HIGH SCHOOL,NY,594,Suburb,Large
51,AMSTERDAM HIGH SCHOOL,NY,1125,Rural,Fringe
52,BARBERS HILL H S,TX,1501,Rural,Fringe
53,LOUISIANA HIGH,MO,204,Town,Remote
54,BUTLER HIGH SCHOOL,OH,971,Suburb,Large
55,GATEWAY HIGH SCHOOL,CO,1803,City,Large
56,PINE BUSH SENIOR HIGH SCHOOL,NY,1754,Rural,Fringe
57,COE-BROWN NORTHWOOD ACADEMY,NH,701,Rural,Distant
58,DAWSON HIGH SCHOOL,MT,389,Town,Remote
59,ELEANOR ROOSEVELT HIGH SCHOOL,NY,555,City,Large
60,HINTON HS,OK,162,Rural,Remote
61,GIRARD HS,PA,564,Suburb,Mid-size
62,HUNTLEY PROJECT HIGH SCHL,MT,262,Rural,Distant
63,FRUITVALE H S,TX,127,Rural,Distant
64,DARLINGTON HIGH,WI,217,Rural,Remote
65,MOUNDS HS,OK,180,Rural,Fringe
66,HOWE HS,OK,194,Town,Distant
67,OAK GROVE HIGH,MO,649,Suburb,Large
68,MCLOUTH HIGH,KS,141,Rural,Distant
69,TATUM H S,TX,525,Rural,Distant
70,CEDAR CITY HIGH,UT,1182,Town,Remote
71,HANOVER HIGH,KS,76,Rural,Remote
72,RICE LAKE HIGH,WI,687,Town,Remote
73,DAPHNE HIGH SCH,AL,1259,City,Small
74,NEW LONDON HIGH,WI,640,Rural,Fringe
75,LAWSON HIGH,MO,381,Rural,Distant
76,ELGIN HS,OK,673,Rural,Distant
77,AKRON WESTFIELD SENIOR HIGH SCHOOL,IA,160,Rural,Distant
78,MARTINSVILLE HIGH,VA,625,Town,Distant
79,CHILLICOTHE HIGH,MO,571,Town,Remote
80,FLOYD HIGH,NM,67,Rural,Remote
81,BERRYVILLE HIGH SCHOOL,AR,612,Town,Distant
82,EAST LAURENS HIGH SCHOOL,GA,592,Rural,Fringe
83,TURNERS FALL HIGH,MA,239,Town,Distant
84,HENRIETTA H S,TX,276,Rural,Fringe
85,GRANBURY H S,TX,1414,Town,Distant
86,RAINIER SENIOR HIGH SCHOOL,WA,286,Rural,Distant
87,NORTH ANDREW HIGH,MO,117,Rural,Distant
88,CARROLLTON HIGH SCHOOL,GA,1481,Town,Fringe
89,HORN H S,TX,2320,Rural,Fringe
90,BANKS COUNTY HIGH SCHOOL,GA,908,Rural,Fringe
91,WEATHERFORD H S,TX,2326,Rural,Fringe
